Renie,Ranjiv,Renie.Ranjiv@icanschool.com,Communication,2023,Paris
Konstance,Tristram,Konstance.Tristram@icanschool.com,Communication,2023,Lyon
Elise,Halla,Elise.Halla@icanschool.com,Communication,2023,Lille
Maud,Therine,Maud.Therine@icanschool.com,Communication,2023,Lyon
Caritta,Haymes,Caritta.Haymes@icanschool.com,Communication,2023,Lyon
Bee,Ciro,Bee.Ciro@icanschool.com,Communication,2023,Paris
Orelia,Trey,Orelia.Trey@icanschool.com,Communication,2023,Lyon
Emma,Carlson,Emma.Carlson@icanschool.com,Communication,2023,Lille
Pearline,Erskine,Pearline.Erskine@icanschool.com,Communication,2023,Bordeaux
Marnia,Schalles,Marnia.Schalles@icanschool.com,Communication,2023,Lyon
Yetty,Natalia,Yetty.Natalia@icanschool.com,Communication,2023,Paris
Gale,Annabella,Gale.Annabella@icanschool.com,Communication,2023,Lille
Silvana,McClimans,Silvana.McClimans@icanschool.com,Communication,2023,Lille
Darlleen,Afton,Darlleen.Afton@icanschool.com,Communication,2023,Lyon
Andeee,Annice,Andeee.Annice@icanschool.com,Communication,2023,Paris
Marcelline,Amadas,Marcelline.Amadas@icanschool.com,Communication,2023,Paris
Shannah,Si,Shannah.Si@icanschool.com,Communication,2023,Paris
Delilah,Hartnett,Delilah.Hartnett@icanschool.com,Communication,2023,Bordeaux
Minda,Raychel,Minda.Raychel@icanschool.com,Communication,2023,Bordeaux
Dorthy,Blake,Dorthy.Blake@icanschool.com,Communication,2023,Lyon
Jemie,Thar,Jemie.Thar@icanschool.com,Communication,2023,Paris
Elie,Hurley,Elie.Hurley@icanschool.com,Communication,2023,Bordeaux
Kimberley,Smitt,Kimberley.Smitt@icanschool.com,Communication,2023,Lille
Brandise,Adore,Brandise.Adore@icanschool.com,Communication,2023,Lyon
Daryl,Caitlin,Daryl.Caitlin@icanschool.com,Communication,2023,Paris
Mignon,Kermit,Mignon.Kermit@icanschool.com,Communication,2023,Lyon
